,property,value (log),smiles_string
86,p_sim_CO2,-7.324221658,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc([*])cc4C)cc3)cc2)c(C)c1
87,p_exp_N2,-10.34678749,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
88,d_exp_N2,-7.677780705,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
89,d_sim_N2,-6.392544977,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
90,s_sim_N2,-2.331741315,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
91,s_exp_N2,-2.66900681,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
92,p_sim_N2,-8.723538196,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
93,p_exp_CO2,-8.879426069,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc(C(C)(C)c5ccc(C([*])(C)C)cc5)cc4C)cc3)cc2)c(C)c1
94,d_exp_CO2,-7.186419011,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc(C(C)(C)c5ccc(C([*])(C)C)cc5)cc4C)cc3)cc2)c(C)c1
95,d_sim_CO2,-6.400116928,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc(C(C)(C)c5ccc(C([*])(C)C)cc5)cc4C)cc3)cc2)c(C)c1
96,s_sim_CO2,-0.633188199,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc(C(C)(C)c5ccc(C([*])(C)C)cc5)cc4C)cc3)cc2)c(C)c1
97,s_exp_CO2,-1.693007051,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc(C(C)(C)c5ccc(C([*])(C)C)cc5)cc4C)cc3)cc2)c(C)c1
98,p_sim_CO2,-7.033389013,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc(C(C)(C)c5ccc(C([*])(C)C)cc5)cc4C)cc3)cc2)c(C)c1
99,s_sim_CH4,-1.545352659,[*]CC([*])(C)C#N
100,p_exp_CH4,-10.68824614,[*]OC1C(COC(C)=O)OC(OC2C(COC(C)=O)OC([*])C(OC(C)=O)C2O)C(OC(C)=O)C1O
101,s_sim_CH4,-1.572364591,[*]OC1C(COC(C)=O)OC(OC2C(COC(C)=O)OC([*])C(OC(C)=O)C2O)C(OC(C)=O)C1O
102,d_exp_O2,-7.244125144,[*]C=CC1CC([*])CC1C(=O)OC
103,d_sim_O2,-6.290730039,[*]C=CC1CC([*])CC1C(=O)OC
104,s_sim_O2,-2.304863532,[*]C=CC1CC([*])CC1C(=O)OC
105,p_sim_O2,-8.530177984,[*]C=CC1CC([*])CC1C(=O)OC
106,p_exp_O2,-9.860120914,[*]c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C([*])(C)C)cc4)cc3)cc2)cc1
107,d_exp_O2,-7.408935393,[*]c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C([*])(C)C)cc4)cc3)cc2)cc1
108,d_sim_O2,-6.696803943,[*]c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C([*])(C)C)cc4)cc3)cc2)cc1
109,s_sim_O2,-2.032382065,[*]c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C([*])(C)C)cc4)cc3)cc2)cc1
110,s_exp_O2,-2.451185464,[*]c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C([*])(C)C)cc4)cc3)cc2)cc1
111,p_sim_O2,-8.735182177,[*]c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C([*])(C)C)cc4)cc3)cc2)cc1
112,p_exp_CO2,-9.055517328,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
113,d_exp_CO2,-7.229147988,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
114,d_sim_CO2,-6.826813732,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
115,s_sim_CO2,-0.834251742,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
116,s_exp_CO2,-1.826369346,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
117,p_sim_CO2,-7.661543506,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
118,s_sim_CH4,-1.728647424,[*]CC([*])C#N
119,p_exp_CH4,-10.26760624,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
120,d_exp_CH4,-7.387216143,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
121,d_sim_CH4,-7.037630664,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
122,s_sim_CH4,-1.510837909,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
123,s_exp_CH4,-2.880390153,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
124,p_sim_CH4,-8.548213564,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
125,p_exp_CH4,-12.09691001,[*]c1cccc(Oc2cccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c2)c1
126,s_sim_CH4,-1.134935001,[*]c1cccc(Oc2cccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c2)c1
127,d_sim_CO2,-6.415668776,[*]c1ccc(-n2c(=O)c3cc4c(=O)n(-c5ccc(N([*])c6ccc(C#N)cc6)cc5)c(=O)c4cc3c2=O)cc1
128,s_sim_CO2,-0.094366086,[*]c1ccc(-n2c(=O)c3cc4c(=O)n(-c5ccc(N([*])c6ccc(C#N)cc6)cc5)c(=O)c4cc3c2=O)cc1
129,p_sim_CO2,-6.510041521,[*]c1ccc(-n2c(=O)c3cc4c(=O)n(-c5ccc(N([*])c6ccc(C#N)cc6)cc5)c(=O)c4cc3c2=O)cc1
130,d_sim_CO2,-6.935542011,[*]Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4cccc5c(Oc6ccc(N7C(=O)c8ccc(C([*])=O)cc8C7=O)cc6)cccc45)cc2)C3=O)c1
131,s_sim_CO2,-0.246536766,[*]Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4cccc5c(Oc6ccc(N7C(=O)c8ccc(C([*])=O)cc8C7=O)cc6)cccc45)cc2)C3=O)c1
132,p_sim_CO2,-7.181774106,[*]Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4cccc5c(Oc6ccc(N7C(=O)c8ccc(C([*])=O)cc8C7=O)cc6)cccc45)cc2)C3=O)c1
133,d_sim_CO2,-5.785156152,[*]C(F)(F)C1(F)C(F)(F)C([*])(F)C(F)(F)C(F)(Cl)C1(F)F
134,s_sim_CO2,-0.389206402,[*]C(F)(F)C1(F)C(F)(F)C([*])(F)C(F)(F)C(F)(Cl)C1(F)F
135,p_sim_CO2,-6.174573882,[*]C(F)(F)C1(F)C(F)(F)C([*])(F)C(F)(F)C(F)(Cl)C1(F)F
136,d_sim_CO2,-6.669586227,[*]Oc1ccc(C2(c3ccc(Oc4ccc5c(c4)C(=O)N(c4ccc(N6C(=O)c7ccc([*])cc7C6=O)cc4)C5=O)cc3)CCC(c3ccccc3)CC2)cc1
137,s_sim_CO2,-0.445104881,[*]Oc1ccc(C2(c3ccc(Oc4ccc5c(c4)C(=O)N(c4ccc(N6C(=O)c7ccc([*])cc7C6=O)cc4)C5=O)cc3)CCC(c3ccccc3)CC2)cc1
138,p_sim_CO2,-7.11463878,[*]Oc1ccc(C2(c3ccc(Oc4ccc5c(c4)C(=O)N(c4ccc(N6C(=O)c7ccc([*])cc7C6=O)cc4)C5=O)cc3)CCC(c3ccccc3)CC2)cc1
139,d_sim_CO2,-6.472370099,[*]Oc1ccc(Sc2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1
140,s_sim_CO2,-0.471788728,[*]Oc1ccc(Sc2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1
141,p_sim_CO2,-6.943095149,[*]Oc1ccc(Sc2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1
142,d_sim_CO2,-6.55129368,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc4cc(S(=O)(=O)c5ccc(Oc6c(C)cc([*])cc6C)cc5)ccc4c3)cc2)c(C)c1
143,s_sim_CO2,-0.482105301,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc4cc(S(=O)(=O)c5ccc(Oc6c(C)cc([*])cc6C)cc5)ccc4c3)cc2)c(C)c1
144,p_sim_CO2,-7.033389013,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc4cc(S(=O)(=O)c5ccc(Oc6c(C)cc([*])cc6C)cc5)ccc4c3)cc2)c(C)c1
145,d_sim_CO2,-6.619788758,[*]c1cc(C)c(Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(c5ccc(Oc7c(C)cc(C([*])c8cccc9ccccc89)cc7C)cc5)C6=O)cc4C3=O)cc2)c(C)c1
