,zinc_ids,polymer,reactants,n_polymer_atoms
12109,ZINC000409403653,*=CC1CC(C=*)C2C(=O)N(N=Cc3ccc(OCc4ccccc4F)cc3)C(=O)C12,O=C1C2C3C=CC(C3)C2C(=O)N1N=Cc1ccc(OCc2ccccc2F)cc1,29
12110,ZINC000409404097,*=CC1CC(C=*)C2C(=O)N(N=Cc3ccc(Sc4ccc(C)cc4)o3)C(=O)C12,Cc1ccc(Sc2ccc(C=NN3C(=O)C4C5C=CC(C5)C4C3=O)o2)cc1,27
12111,ZINC000409405219,*=CC1CC(C=*)C2C(=O)N(N=Cc3ccc(OCc4ccc(F)cc4)cc3)C(=O)C12,O=C1C2C3C=CC(C3)C2C(=O)N1N=Cc1ccc(OCc2ccc(F)cc2)cc1,29
12112,ZINC000409406493,*=CC1CC(C=*)C2C(=O)N(N=Cc3ccccc3OCc3cccc(F)c3)C(=O)C12,O=C1C2C3C=CC(C3)C2C(=O)N1N=Cc1ccccc1OCc1cccc(F)c1,29
12113,ZINC000409406527,*=CC1CC(C=*)C2C(=O)N(N=Cc3cc(C)n(-c4ccccc4CC)c3C)C(=O)C12,CCc1ccccc1-n1c(C)cc(C=NN2C(=O)C3C4C=CC(C4)C3C2=O)c1C,29
12114,ZINC000409408893,*=CC1CC(C=*)C2C(=O)N(N=Cc3cccc(OCc4ccc(C)cc4)c3)C(=O)C12,Cc1ccc(COc2cccc(C=NN3C(=O)C4C5C=CC(C5)C4C3=O)c2)cc1,29
12115,ZINC000112254769,*=CC1CC(C=*)C2C(=O)N(N=Cc3ccc(OCc4ccc(C)cc4)cc3)C(=O)C12,Cc1ccc(COc2ccc(C=NN3C(=O)C4C5C=CC(C5)C4C3=O)cc2)cc1,29
12116,ZINC000004134113,*=CC1CC(C=*)C2C(=O)N(c3ccc(Oc4ccc(C#N)c(C#N)c4)cc3)C(=O)C12,N#Cc1ccc(Oc2ccc(N3C(=O)C4C5C=CC(C5)C4C3=O)cc2)cc1C#N,29
12117,ZINC000008636085,*=CC(CC(C=*)c1c(C)nn(CCC#N)c1C)NC(=O)Nc1ccc(OC)cc1,COc1ccc(NC(=O)NC2C=CC(c3c(C)nn(CCC#N)c3C)C2)cc1,28
12118,ZINC000254406288,*=CC1CC(C=*)C2C(=O)N(N=Cc3cn(Cc4ccccc4)c4ccccc34)C(=O)C12,O=C1C2C3C=CC(C3)C2C(=O)N1N=Cc1cn(Cc2ccccc2)c2ccccc12,30
12119,ZINC000218134943,*=CC1CC(C=*)C(CN2CC(=O)C(c3nc(-c4ccc(OC)cc4)cs3)=C2N)C1,COc1ccc(-c2csc(C3=C(N)N(CC4CC5C=CC4C5)CC3=O)n2)cc1,28
12120,ZINC000409407126,*=CC1CC(C=*)C2C(=O)N(N=Cc3cccn3-c3ccc4ccccc4c3)C(=O)C12,O=C1C2C3C=CC(C3)C2C(=O)N1N=Cc1cccn1-c1ccc2ccccc2c1,29
12121,ZINC000409407132,*=CC1CC(C=*)C2C(=O)N(N=Cc3cc(C)n(-c4ccccc4Cl)c3C)C(=O)C12,Cc1cc(C=NN2C(=O)C3C4C=CC(C4)C3C2=O)c(C)n1-c1ccccc1Cl,28
12122,ZINC000409406680,*=CC1CC(C=*)C2C(=O)N(N=Cc3cc(C)n(-c4ccc(CC)cc4)c3C)C(=O)C12,CCc1ccc(-n2c(C)cc(C=NN3C(=O)C4C5C=CC(C5)C4C3=O)c2C)cc1,29
12123,ZINC000409406626,*=CC1CC(C=*)C2C(=O)N(N=Cc3c(C)n(C(C)(C)C)c4ccccc34)C(=O)C12,Cc1c(C=NN2C(=O)C3C4C=CC(C4)C3C2=O)c2ccccc2n1C(C)(C)C,28
12124,ZINC000409405887,*=CC1CC(C=*)C2C(=O)N(N=Cc3cc(C)n(-c4cc(C)cc(C)c4)c3C)C(=O)C12,Cc1cc(C)cc(-n2c(C)cc(C=NN3C(=O)C4C5C=CC(C5)C4C3=O)c2C)c1,29
12125,ZINC000409405564,*=CC1CC(C=*)C2C(=O)N(N=Cc3cc(C)n(-c4cccc(Cl)c4)c3C)C(=O)C12,Cc1cc(C=NN2C(=O)C3C4C=CC(C4)C3C2=O)c(C)n1-c1cccc(Cl)c1,28
12126,ZINC000409405574,*=CC1CC(C=*)C2C(=O)N(N=Cc3cc(C)n(-c4cc(C)ccc4C)c3C)C(=O)C12,Cc1ccc(C)c(-n2c(C)cc(C=NN3C(=O)C4C5C=CC(C5)C4C3=O)c2C)c1,29
12127,ZINC000409405224,*=CC1CC(C=*)C2C(=O)N(N=Cc3ccc(OCc4cccc(F)c4)cc3)C(=O)C12,O=C1C2C3C=CC(C3)C2C(=O)N1N=Cc1ccc(OCc2cccc(F)c2)cc1,29
12128,ZINC000409405168,*=CC1CC(C=*)C2C(=O)N(N=Cc3ccc(OCc4cccc(C)c4)cc3)C(=O)C12,Cc1cccc(COc2ccc(C=NN3C(=O)C4C5C=CC(C5)C4C3=O)cc2)c1,29
12129,ZINC000409404113,*=CC1CC(C=*)C2C(=O)N(N=Cc3cc(C)n(-c4ccc(Cl)cc4)c3C)C(=O)C12,Cc1cc(C=NN2C(=O)C3C4C=CC(C4)C3C2=O)c(C)n1-c1ccc(Cl)cc1,28
12130,ZINC000409402187,*=CC1CC(C=*)C2C(=O)N(N=Cc3ccccc3OCc3ccc(C)cc3)C(=O)C12,Cc1ccc(COc2ccccc2C=NN2C(=O)C3C4C=CC(C4)C3C2=O)cc1,29
12131,ZINC000409409515,*=CC1CC(C=*)C2C(=O)N(N=Cc3cccn3-c3cccc(C(F)(F)F)c3)C(=O)C12,O=C1C2C3C=CC(C3)C2C(=O)N1N=Cc1cccn1-c1cccc(C(F)(F)F)c1,29
12132,ZINC000409409417,*=CC1CC(C=*)C2C(=O)N(N=Cc3cc(C)n(-c4c(C)cccc4C)c3C)C(=O)C12,Cc1cccc(C)c1-n1c(C)cc(C=NN2C(=O)C3C4C=CC(C4)C3C2=O)c1C,29
12133,ZINC000409408976,*=CC1CC(C=*)C2C(=O)N(N=Cc3cccn3-c3ccc(Cl)c(C)c3)C(=O)C12,Cc1cc(-n2cccc2C=NN2C(=O)C3C4C=CC(C4)C3C2=O)ccc1Cl,27
