polymer_smiles,ROP of,monomer_smiles,Enthalpy of Polymerization (kJ/mol),Glass Transition Temperature (K),Specific Heat Capacity (J {gK}^{-1}),Tensile Strength at break (MPa),Thermal Decomposition Temperature (K),Youngs Modulus (GPa),fitness
[*]CCC(CCO[*])OCCC(=O)N1CC(N)C(C)(C)C1,Ether,CC1(C)CN(CC1N)C(=O)CCOC1CCOCC1,7.766393948786315,299.91296193003654,1.502529426217079,14.758242537826302,558.6927976861597,0.3043196647856384,0.0064737742042349
[*]CCC(CCO[*])(CNC(=O)N1CCCC(C)C1C)C(=O)OC,Ether,COC(=O)C1(CNC(=O)N2CCCC(C)C2C)CCOCC1,16.925702326600014,332.7408580482006,1.5269006866216657,14.38974086046219,551.4932486817241,0.2988770085637272,0.0064737144252888
[*]CCC(CCO[*])(CNC(=O)N1CC(C)CCC1C)C(=O)OC,Ether,COC(=O)C1(CNC(=O)N2CC(C)CCC2C)CCOCC1,16.925702326600014,332.7408580482006,1.5269006866216657,14.38974086046219,551.4932486817241,0.2988770085637272,0.0064737144252888
[*]CCN(CCS[*])C(=O)CCC(=O)N1C(C)CN(C(=O)C(C)(C)C)CC1C,Thioether,CC1CN(C(=O)C(C)(C)C)CC(C)N1C(=O)CCC(=O)N1CCSCC1,12.476659499265136,285.20776814222336,1.2405789256095887,14.886245044320823,535.4026181459427,0.3193734595100582,0.0064737036204495
[*]CCC(CCS[*])N[C@@H](C)C(=O)O,Thioether,C[C@H](NC1CCSCC1)C(O)=O,-1.8150996966292845,281.8550383150577,1.2115852275490762,14.960082104057076,469.87894033044574,0.3189292449724674,0.0064736916753017
[*]CCC(CCS[*])N[C@H](C)C(=O)O,Thioether,C[C@@H](NC1CCSCC1)C(O)=O,-1.8150996966292845,281.8550383150577,1.2115852275490762,14.960082104057076,469.87894033044574,0.3189292449724674,0.0064736916753017
[*]CCC(CCS[*])NC(C)C(=O)O,Thioether,CC(NC1CCSCC1)C(O)=O,-1.8150996966229176,281.8550383150577,1.2115852275490762,14.960082104057076,469.87894033044574,0.3189292449724674,0.0064736916753014
[*]=CCCCC(=O)C(=[*])Cc1nccn1CC,Cycloalkene,CCn1ccnc1CC1=CCCCC1=O,-12.921932712781024,313.5277652144432,1.6081964349746702,15.115146482735874,620.5209260970354,0.2748170367693156,0.0064736800881286
[*]CCCCC(=O)C=C(CNC(=O)C(C)Br)S[*],Thiocane,CC(Br)C(=O)NCC1=CC(=O)CCCCS1,-12.888316402091798,317.552128136158,1.283159662783146,14.685504633933308,553.7156575754285,0.2796900458098202,0.0064736614029186
[*]=CCC(CCC(=[*])C)C(C)=CCC=C(C)C,Cycloalkene,CC(C)=CCC=C(C)C1CCC(C)=CC1,-18.83007539295757,241.1250842511654,1.7071753191947936,16.023849001526834,569.9787512898446,0.3240324969699979,0.0064736587267774
[*]CCC(CCO[*])CN(C)C(=O)C1(N)CCCC1,Ether,CN(CC1CCOCC1)C(=O)C1(N)CCCC1,6.130287609306312,326.26913115382195,1.618244833350181,14.811051167547705,580.7346961006523,0.2844065993074328,0.0064736508740679
[*]CCN(CCO[*])CC(=O)N1CCN(C(=O)N(C)C)CC1,Ether,CN(C)C(=O)N1CCN(CC1)C(=O)CN1CCOCC1,13.589163594491374,317.0480074584484,1.4951388531923293,15.10345194116235,594.0020833700895,0.2908552199685574,0.0064736423667232
[*]CCN(CCO[*])C(=O)CN1CCN(C(=O)N(C)C)CC1,Ether,CN(C)C(=O)N1CCN(CC(=O)N2CCOCC2)CC1,13.589163594491374,317.0480074584484,1.4951388531923293,15.10345194116235,594.0020833700895,0.2908552199685574,0.0064736423667232
[*]CCN(Cc1nc(CCC)no1)CC(C)S[*],Thioether,CCCc1noc(CN2CCSC(C)C2)n1,13.946338276333844,259.52005334198475,1.6538684290647503,15.541659162938595,565.7317666456104,0.3352988159120827,0.0064735944466521
[*]=C(CC(C)(C)CC(=O)C(=[*])C(=O)CCC)NCCO,Cycloalkene,CCCC(=O)C1=C(NCCO)CC(C)(C)CC1=O,-6.312063313662055,326.9943408071995,1.5015541952848432,14.77469561994076,550.1436717286706,0.2756489630427212,0.0064735808627152
