,smiles1,smiles2,smiles3,c1,c2,c3,Temp(C),RH(%),lw,prop,value
384,Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc4ccc(C(c3ccc(O*)cc3)(C(F)(F)F)C(F)(F)F)cc4, Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc5ccc(Oc3ccc(O*)cc3[n+]4ccccc4)cc5[n+]6ccccc6.[Cl-],*CC*,62.5,37.5,0.0,50.0,100.0,1,OHCond(mS/cm),0.8089
385,Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc4ccc(C(c3ccc(O*)cc3)(C(F)(F)F)C(F)(F)F)cc4, Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc5ccc(Oc3ccc(O*)cc3[n+]4ccccc4)cc5[n+]6ccccc6.[Cl-],*CC*,62.5,37.5,0.0,40.0,100.0,1,OHCond(mS/cm),0.695193
386,Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc4ccc(C(c3ccc(O*)cc3)(C(F)(F)F)C(F)(F)F)cc4, Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc5ccc(Oc3ccc(O*)cc3[n+]4ccccc4)cc5[n+]6ccccc6.[Cl-],*CC*,62.5,37.5,0.0,30.0,100.0,1,OHCond(mS/cm),0.634792
387,Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc4ccc(C(c3ccc(O*)cc3)(C(F)(F)F)C(F)(F)F)cc4, CCCC[N+](C)(C)c1cc(O*)ccc1Oc4ccc(Oc3c(F)c(F)c(c2c(F)c(F)c(*)c(F)c2F)c(F)c3F)c([N+](C)(C)CCCC)c4.[Cl-],*CC*,62.5,37.5,0.0,80.0,100.0,1,OHCond(mS/cm),7.111704
388,Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc4ccc(C(c3ccc(O*)cc3)(C(F)(F)F)C(F)(F)F)cc4, CCCC[N+](C)(C)c1cc(O*)ccc1Oc4ccc(Oc3c(F)c(F)c(c2c(F)c(F)c(*)c(F)c2F)c(F)c3F)c([N+](C)(C)CCCC)c4.[Cl-],*CC*,62.5,37.5,0.0,70.0,100.0,1,OHCond(mS/cm),6.205305
389,Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc4ccc(C(c3ccc(O*)cc3)(C(F)(F)F)C(F)(F)F)cc4, CCCC[N+](C)(C)c1cc(O*)ccc1Oc4ccc(Oc3c(F)c(F)c(c2c(F)c(F)c(*)c(F)c2F)c(F)c3F)c([N+](C)(C)CCCC)c4.[Cl-],*CC*,62.5,37.5,0.0,60.0,100.0,1,OHCond(mS/cm),5.173873
390,Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc4ccc(C(c3ccc(O*)cc3)(C(F)(F)F)C(F)(F)F)cc4, CCCC[N+](C)(C)c1cc(O*)ccc1Oc4ccc(Oc3c(F)c(F)c(c2c(F)c(F)c(*)c(F)c2F)c(F)c3F)c([N+](C)(C)CCCC)c4.[Cl-],*CC*,62.5,37.5,0.0,50.0,100.0,1,OHCond(mS/cm),4.216965
391,Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc4ccc(C(c3ccc(O*)cc3)(C(F)(F)F)C(F)(F)F)cc4, CCCC[N+](C)(C)c1cc(O*)ccc1Oc4ccc(Oc3c(F)c(F)c(c2c(F)c(F)c(*)c(F)c2F)c(F)c3F)c([N+](C)(C)CCCC)c4.[Cl-],*CC*,62.5,37.5,0.0,40.0,100.0,1,OHCond(mS/cm),3.334466
392,Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc4ccc(C(c3ccc(O*)cc3)(C(F)(F)F)C(F)(F)F)cc4, CCCC[N+](C)(C)c1cc(O*)ccc1Oc4ccc(Oc3c(F)c(F)c(c2c(F)c(F)c(*)c(F)c2F)c(F)c3F)c([N+](C)(C)CCCC)c4.[Cl-],*CC*,62.5,37.5,0.0,30.0,100.0,1,OHCond(mS/cm),2.519508
393,Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc4ccc(C(c3ccc(O*)cc3)(C(F)(F)F)C(F)(F)F)cc4, C[N+](C)(C)c1cc(O*)ccc1Oc4ccc(Oc3c(F)c(F)c(c2c(F)c(F)c(*)c(F)c2F)c(F)c3F)c([N+](C)(C)C)c4.[Cl-],*CC*,62.5,37.5,0.0,80.0,100.0,1,OHCond(mS/cm),14.49386
394,Fc2c(F)c(c1c(F)c(F)c(*)c(F)c1F)c(F)c(F)c2Oc4ccc(C(c3ccc(O*)cc3)(C(F)(F)F)C(F)(F)F)cc4, C[N+](C)(C)c1cc(O*)ccc1Oc4ccc(Oc3c(F)c(F)c(c2c(F)c(F)c(*)c(F)c2F)c(F)c3F)c([N+](C)(C)C)c4.[Cl-],*CC*,62.5,37.5,0.0,70.0,100.0,1,OHCond(mS/cm),12.36247
