,PID,smiles1,value_COE
9053,P432283,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7ccc(C([*])(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5C(F)(F)F)cc4)(C(F)(F)F)C(F)(F)F)cc3)c(C(F)(F)F)c1)C2=O,126.4937441
1649,P090113,[*]CCOC(=O)C=CC(=O)O[*],126.4937441
2367,P100247,[*]Nc1ccc(C([*])=O)cc1,126.4937441
4798,P370315,[*]CC(O)COC(CC=CC(OCC(O)COC(c1cccc(C(O[*])(C(F)(F)F)C(F)(F)F)c1)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,126.4937441
2261,P100131,[*]Nc1ccc(NC(=O)c2ccc(C([*])=O)cc2)cc1,126.4937441
532,P040183,[*]CC([*])C(=O)OCCSCCC#N,126.7138288
9433,P432887,[*]C(=O)Oc1ccc(OC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)c(-c2ccccc2)c1,126.7688799
935,P070317,[*]Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc([*])cc4)cc3)cc2)cc1,127.5408504
3179,P130360,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7ccc(C([*])(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc1)C2=O,127.5960808
8575,P430245,[*]CC(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N([*])C3=O)cc1,128.7032
10238,P460064,[*]Nc1ccc([*])cc1,128.7032
4100,P340153,[*]CC([*])C(=O)NCC(F)(F)F,129.369767
8868,P432066,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(C([*])(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,129.8151015
4101,P340154,[*]CC([*])C(=O)NCO,129.9265547
3136,P130252,[*]C(=O)NC1CCC(CC2CCC(NC(=O)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CC2)CC1,130.1496046
976,P070369,[*]CC(O)COc1ccc(C(C)(C)c2ccc(O[*])cc2)cc1,132.0532517
3023,P130121,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3cccc(Oc4ccc(N5C(=O)c6ccc(C([*])(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4)c3)cc1)C2=O,132.0532517
2939,P130031,[*]c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc(C(F)(F)C(F)(F)C([*])(F)F)cc5C4=O)cc3)cc1)C2=O,132.0532517
3022,P130120,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(Oc4ccc(N5C(=O)c6ccc(C([*])(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4)cc3)cc1)C2=O,132.0532517
2203,P100069,[*]CCCCCCNC(=O)c1cccc(C(=O)N[*])c1,132.0532517
994,P070391,[*]CC1CC([*])OCO1,133.1795004
3165,P130335,[*]C(=O)Nc1cccc(C=CC(=O)C=Cc2cccc(NC(=O)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)c2)c1,134.7642829
3164,P130334,[*]C(=O)Nc1cccc(NC(=O)C=Cc2cccc(N3C(=O)c4ccc([*])cc4C3=O)c2)c1,134.7642829
2143,P100004,[*]CCCCCC(=O)N[*],134.8778403
2310,P100187,[*]CCCC(=O)N[*],136.5869405
7924,P400382,[*]CCCCCNC(=O)c1cccc(C(=O)N[*])c1,138.8824792
674,P050003,[*]CC([*])(F)F,140.0374221
3097,P130197,[*]c1cccc(N2C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc7c(c6)C(=O)N([*])C7=O)cc5)cc4)cc3C2=O)c1,142.3616549
241,P030011,[*]CC([*])(C)C#N,142.3616549
218,P020190,[*]CC([*])c1ccncc1,143.5309449
9050,P432280,[*]c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N([*])C8=O)cc6C5=O)cc4C(F)(F)F)cc3)(C(F)(F)F)C(F)(F)F)cc2)c(C(F)(F)F)c1,145.883872
9048,P432278,[*]c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n([*])c(=O)c7cc6c5=O)cc4C(F)(F)F)cc3)(C(F)(F)F)C(F)(F)F)cc2)c(C(F)(F)F)c1,145.883872
8775,P430484,[*]c1ccc2c(c1)C(=O)N(c1c(C)cc(-c3cc(C)c(N4C(=O)c5ccc(C([*])(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C)c3)cc1C)C2=O,148.2559286
3347,P160002,[*]CCN([*])C(C)=O,149.4491305
