SN,smiles,eib
122,[*]c1ccc(-c2nnc(-c3nnc([*])o3)o2)cc1,0.8555643846696155
123,[*]CNC(=S)C(=O)[*],0.8641977134302272
124,C(F)(F)CC(F)(F)C(=S),0.8650937292998027
125,[*]C(=O)C(C=C1)=CC=C1C(=O)C(=S)[*],0.8675076186842623
126,[*]CC(S1)=CC=C1C(=O)C(=S)[*],0.8720078960309356
127,[*]C=C([*])c1ccc(NC=O)cc1,0.8738813416618165
128,[*]C#CC(=C([*])c1cnc2ccccc2c1)c1cnc2ccccc2c1,0.8739191579803354
129,[*]c1ccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(c4ccc6[nH]c([*])nc6c4)C5=O)cc3C2=O)cc1,0.8758948425950663
130,[*]c1ccc2c(c1)C(=O)N(c1cc(N3C(=O)c4ccc(C([*])(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)cc1O)C2=O,0.8853946713304391
131,C(S1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3C(=O)NC(=O)N,0.9049631094872082
132,[*]C#CC#Cc1ccc([*])s1,0.9052136898359512
133,[*]c1cnc([*])s1,0.9064651157896568
134,[*]C(=O)OC(S1)=CC=C1C(=S)[*],0.907464211914522
135,[*]CCC(=O)C(=S)[*],0.9079455035080132
136,[*]c1ccc(Cc2cccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c2)cc1,0.9085661956514216
137,C(F)(F)C(S1)=CC=C1C(F)(F)C(=S),0.9108277835298196
138,[*]CC(C=C1)=CC=C1C(=O)C(=S)[*],0.9166989809765091
139,[*]NC(=O)NC(=S)[*],0.9174146981955064
140,[*]CC(=O)NC(=S)[*],0.9212708333695524
141,[*]C(=O)OC(C=C1)=CC=C1C(=S)[*],0.9236578831397396
142,[*]c1ccc(-n2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)c(CP(=O)(OCCCl)OCCCl)c1,0.924178675944142
143,[*]C(C=C1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3[*],0.9281646204166668
144,[*]C(C=C1)=CC=C1C(=O)NC(=O)[*],0.928401610767172
145,[*]CC(=O)OCCCCCCOC(=O)Cn1c(=O)c2cc3c(=O)n([*])c(=O)c3cc2c1=O,0.9405683704485042
146,[*]C=CC=Cc1nc2cc3sc([*])nc3cc2s1,0.9409605977171842
147,[*]CC(=O)CC(=S)[*],0.9489045728639552
148,[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3C(=S)[*],0.9558134421617316
149,[*]C(=O)Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc(N4C(=O)c5ccc([*])cc5C4=O)c2)C3=O)n1,0.9629466833209834
150,[*]CC(=S)C(=O)C(=S)[*],0.9629958725125602
151,[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(=S)[*],0.9669483574341372
152,C(F)(F)C(F)(F)NC(=S),0.968035147471232
153,[*]Nc1ccc(-c2ccc(NC3=CC(=O)C([*])=CC3=O)cc2)cc1,0.9691969208504232
154,[*]N=Nc1ccc(C=Cc2ccc([*])cc2)cc1,0.9880148531033236
155,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cc(C(=O)OC)cc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,0.9886515014049744
156,[*]NC(=O)OC(=O)[*],0.9891323779037848
157,[*]N=C1C=CC(=NC2=CC(=O)C([*])=CC2=O)c2ccccc21,0.991527637634242
158,[*]CC(S1)=CC=C1C(=S)C(S2)=CC=C2[*],1.0035959695590408
159,C(F)(F)CC(F)(F)C(=O),1.0074763896401295
160,[*]c1ccc(Oc2ccc(-c3cnc4cc5nc([*])cnc5cc4n3)cc2)cc1,1.011577660848359
161,[*]C(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2cnc([*])cn2)c1,1.0173768209241345
162,[*]C=CC=CC=CC=C([*])CCS(=O)(=O)O,1.017400976550242
163,[*]CC(=O)OC(=S)[*],1.0174952467220373
164,[*]C#CC#Cc1cc2sc([*])cc2s1,1.0233942790095178
165,[*]C#CC(CO)=C([*])n1c2ccccc2c2ccccc21,1.024850409704451
