,composition,load,hardness,category,type
356,Ru0.5Rh0.5 ,1,4.81,exp,only_exp
357,Ru2Ge3,0.98,10.79,exp,only_exp
358,Ru2Si3,0.2,15.2,exp,only_exp
359,RuB2,0.25,24.2,exp,only_exp
360,RuB2,0.49,20.6,exp,only_exp
361,RuB2,0.98,16.74,exp,only_exp
362,RuB2,1.96,14.4,exp,only_exp
363,Sc0.021Pt0.979 ,9.8,1.18,exp,only_exp
364,Sc0.05Y0.95B12,0.49,41.5078742,exp,only_exp
365,Sc0.05Y0.95B12,0.98,35.03897864,exp,only_exp
366,Sc0.05Y0.95B12,1.96,32.31957769,exp,only_exp
367,Sc0.05Y0.95B12,2.94,30.09461328,exp,only_exp
368,Sc0.05Y0.95B12,4.9,28.85852194,exp,only_exp
369,Sc0.05Zr0.95B12,0.49,41.513473,exp,only_exp
370,Sc0.05Zr0.95B12,0.98,35.91240375,exp,only_exp
371,Sc0.05Zr0.95B12,1.96,33.54446204,exp,only_exp
372,Sc0.05Zr0.95B12,2.94,31.24480269,exp,only_exp
373,Sc0.05Zr0.95B12,4.9,28.85409231,exp,only_exp
374,Sc0.25Y0.75B12,0.49,42.66650803,exp,only_exp
375,Sc0.25Y0.75B12,0.98,35.84738659,exp,only_exp
376,Sc0.25Y0.75B12,1.96,33.56061761,exp,only_exp
377,Sc0.25Y0.75B12,2.94,30.9648258,exp,only_exp
378,Sc0.25Y0.75B12,4.9,29.97595272,exp,only_exp
379,Sc0.25Zr0.75B12,0.49,43.69269246,exp,only_exp
380,Sc0.25Zr0.75B12,0.98,36.88488368,exp,only_exp
381,Sc0.25Zr0.75B12,1.96,34.26651024,exp,only_exp
382,Sc0.25Zr0.75B12,2.94,32.14900026,exp,only_exp
383,Sc0.25Zr0.75B12,4.9,30.44134999,exp,only_exp
384,Sc0.5Y0.5B12,0.49,45.14486766,exp,only_exp
385,Sc0.5Y0.5B12,0.98,37.52230439,exp,only_exp
386,Sc0.5Y0.5B12,1.96,35.79175897,exp,only_exp
387,Sc0.5Y0.5B12,2.94,32.8251573,exp,only_exp
388,Sc0.5Y0.5B12,4.9,31.19763704,exp,only_exp
389,Sc0.5Zr0.5B12,0.49,47.96499819,exp,only_exp
390,Sc0.5Zr0.5B12,0.98,39.63166486,exp,only_exp
391,Sc0.5Zr0.5B12,1.96,37.17264847,exp,only_exp
392,Sc0.5Zr0.5B12,2.94,34.07613295,exp,only_exp
