rgroups,num_atoms
[*]N1CCN2C(=O)COCC2C1,12
[*]C(C)(C)CC(C)Br,8
[*]N1CCC2OC(=O)CC21,10
[*]N1CCN(S(=O)(=O)N2CCCC2)C(C)C1,16
[*]CN1C(=O)COc2nccc(I)c21,14
[*]c1ncc(C#Cc2ccc(F)cc2)cn1,16
[*]N1C(=O)C(c2ccc(F)cc2)=C(N2CCCc3ccccc32)C1=O,25
[*][N+]12CCC34c5ccccc5N5C(=O)CC6OCC=C(C1)C(CC32)C6C54,26
[*]c1nonc1-[n+]1nc2nonc2[n-]1,14
[*]N1CCC(C#C)CC1,9
[*]c1oc2c(c1C)C(=O)CC(C)(C)C2,14
[*]CCCN=CN1CCOCC1,12
[*]N1CCC2(CCN(S(=O)(=O)N3CCOCC3)CC2)C1,20
[*]N1CCc2nn(C)c(C)c2C1,12
[*]c1nnc2n1CC1(CCCCCC1)C2,15
[*]c1nc(C)sc1C1=C(c2cccc(Br)c2)COC1=O,20
[*]C(CC)CCl,6
[*]CC1(c2ccc(C#N)cc2)c2ccccc2-c2nccn21,22
[*]N1CCC2(CC1)CCC(C)(C)O2,13
[*]c1nsnc1C1=CCCN(C)C1,13
[*]ON=CC(C)(C)C,8
[*]N1CC2(CCCOC2)OC1=O,12
[*]ON=C(C)c1ccccc1,11
[*]N1N=C2CCCC2CC1=O,11
[*]N1C(=O)CSC1=NN=C(C)c1ccc2c(c1)OCCO2,21
[*]c1nc(Cl)cc(C)c1[N+](=O)[O-],12
[*]c1ccc2c([N+](=O)[O-])cccc2n1,14
[*]N1N=C(C2=CC3C=CC=CC3C=C2)OCC1=O,18
[*]N1C(=O)C(c2ccc(C)cc2C)=C(N2CCC(C)CC2)C1=O,23
[*]c1oc(C)nc1S(=O)(=O)c1ccccc1,16
[*]CN1C(=O)C2(Cn3nncc3CO2)c2cc(Cl)ccc21,21
[*]N1CCc2nn(C)c(=O)n2CC1,13
[*]CCC(=O)CCC(C)C,10
[*]C(Cl)(Cl)Br,5
[*]c1oc2cc(C)cc(C)c2c1C,13
[*]CCS(=O)CCC,8
[*]CC(=O)CCC,7
[*]N1CC2C3C=CC(C3)C2C1,11
[*]N1CCc2cc(Br)ccc21,11
[*]N1CCC2(CCCCCC2)C1,12
[*]N1CC(C)(C)OCC1C,10
[*]CCS(=O)(=O)c1ccccc1Cl,13
[*]CC1=CC(=O)CC(C)(C)C1,11
[*]ON=Cc1ccnc2ccccc12,14
[*]c1nc(Cl)nc(Cl)c1F,10
[*]N1CC(=O)SC1=Nc1cccc(Cl)c1,15
[*]N1CC=C(c2ccccc2C)C1,13
[*]CS(=O)(=O)CCS(C)(=O)=O,11
[*]N1CC2COCC2CC1=O,11
[*]CCC(=O)N1CCCO1,10
[*]N1CCC(OC)c2ccccc21,13
[*]c1oc2cc(C3=CC(=O)OC3)ccc2c1C,17
[*]OP(=O)([O-])OP(=O)([O-])C(Cl)(Cl)P(=O)([O-])[O-],16
[*]c1noc(C2CCOc3ccccc32)n1,16
[*]N1C(=O)CCN1C(C)=O,10
[*]N1CCc2ccccc2C1CCC,14
[*]N1CCOC2(CC(=O)C2)C1,11
[*]CC(=O)N=c1sc2c(C)ccc(C)c2n1C,17
[*]c1cc(C)nn1C,8
[*]N1C(=O)C2C(=O)Oc3ccccc3C2C(C)(C)C1=O,20
